"blast_unfilt_fam","blast_unfilt_genus_species","blast_filt_fam","blast_filt_genus_species","source","note","Oceanic_region","commentary","ngs_metabarcode_libr_nm","seq.rd.cnt"
"Ilumatobacteraceae","Ilumatobacter nonamiensis","none","none","unfilt_all",NA,NA,NA,"b010",45
"none","Acidimicrobidae bacterium YM18-244","none","none","unfilt_all",NA,NA,NA,"b010",318
"Acidothermaceae","Acidothermus cellulolyticus","none","none","unfilt_all",NA,NA,NA,"b010",727
"Acidothermaceae","uncultured Acidothermus sp.","none","none","unfilt_all",NA,NA,NA,"b010",267
"Microbacteriaceae","Candidatus Aquiluna rubra","none","none","unfilt_all",NA,NA,NA,"b010",2599
"Micromonosporaceae","uncultured Actinoplanes sp.","none","none","unfilt_all",NA,NA,NA,"b010",33
"none","actinobacterium enrichment culture clone LiUU-12-58","none","none","unfilt_all",NA,NA,NA,"b010",892
"none","actinobacterium SCGC AAA001-B19","none","none","unfilt_all",NA,NA,NA,"b010",322
"none","actinobacterium SCGC AAA027-D23","none","none","unfilt_all",NA,NA,NA,"b010",1205
"none","actinobacterium SCGC AAA027-E14","none","none","unfilt_all",NA,NA,NA,"b010",1395
"none","actinobacterium SCGC AAA027-F04","none","none","unfilt_all",NA,NA,NA,"b010",45
"none","actinobacterium SCGC AAA027-I20","none","none","unfilt_all",NA,NA,NA,"b010",94
"none","actinobacterium SCGC AAA041-F07","none","none","unfilt_all",NA,NA,NA,"b010",53
"none","actinobacterium SCGC AAA043-I09","none","none","unfilt_all",NA,NA,NA,"b010",1470
"none","actinobacterium SCGC AAA163-G08","none","none","unfilt_all",NA,NA,NA,"b010",114
"none","actinobacterium SCGC AAA278-C06","none","none","unfilt_all",NA,NA,NA,"b010",638
"none","actinobacterium SCGC AAA278-M15","none","none","unfilt_all",NA,NA,NA,"b010",486
"none","actinobacterium SCGC AAA278-P20","none","none","unfilt_all",NA,NA,NA,"b010",3849
"Acanthuridae","Acanthurus olivaceus","Gasterosteidae","Gasterosteus aculeatus","unfilt_all",NA,NA,NA,"b010",153
"Platytroctidae","Maulisia mauli","none","none","unfilt_all",NA,NA,NA,"b010",164
"Atherinidae","Atherinomorus forskalii","none","none","unfilt_all",NA,NA,NA,"b010",24
"Carangidae","Scomberoides commersonnianus","none","none","unfilt_all",NA,NA,NA,"b010",16
"Carangidae","Seriolina nigrofasciata","none","none","unfilt_all",NA,NA,NA,"b010",12
"Kyphosidae","Kyphosus elegans","Scombridae","Thunnus thynnus","unfilt_all",NA,NA,NA,"b010",423
"Macrouridae","Coryphaenoides nasutus","none","none","unfilt_all",NA,NA,NA,"b010",15
"Moridae","Antimora rostrata","Gadidae","Gadus morhua","unfilt_all",NA,NA,NA,"b010",17
"Gobiidae","Gobius niger","Gobiidae","Gobius niger","unfilt_all",NA,NA,NA,"b010",1383
"Gobiidae","Gobius niger","none","none","unfilt_all",NA,NA,NA,"b010",1383
"Gobiidae","Nemateleotris magnifica","Pleuronectidae","Hippoglossus hippoglossus","unfilt_all",NA,NA,NA,"b010",744
"Gobiidae","Pomatoschistus minutus","Gobiidae","Pomatoschistus minutus","unfilt_all",NA,NA,NA,"b010",391
"Labridae","Ctenolabrus rupestris","Labridae","Ctenolabrus rupestris","unfilt_all",NA,NA,NA,"b010",680
"Labridae","Scarus dimidiatus","none","none","unfilt_all",NA,NA,NA,"b010",421
