"blast_unfilt_fam","blast_unfilt_genus_species","blast_filt_fam","blast_filt_genus_species","source","note","Oceanic_region","commentary","ngs_metabarcode_libr_nm","seq.rd.cnt"
"Ilumatobacteraceae","Ilumatobacter fluminis","none","none","unfilt_all",NA,NA,NA,"b009",18
"Ilumatobacteraceae","Ilumatobacter nonamiensis","none","none","unfilt_all",NA,NA,NA,"b009",91
"Acidothermaceae","Acidothermus cellulolyticus","none","none","unfilt_all",NA,NA,NA,"b009",140
"none","Actinomycetales bacterium URHB0008","none","none","unfilt_all",NA,NA,NA,"b009",22
"none","actinobacterium enrichment culture clone LiUU-12-58","none","none","unfilt_all",NA,NA,NA,"b009",229
"none","actinobacterium SCGC AAA003-L19","none","none","unfilt_all",NA,NA,NA,"b009",444
"none","actinobacterium SCGC AAA027-D23","none","none","unfilt_all",NA,NA,NA,"b009",1034
"none","actinobacterium SCGC AAA027-E14","none","none","unfilt_all",NA,NA,NA,"b009",1462
"none","actinobacterium SCGC AAA027-F04","none","none","unfilt_all",NA,NA,NA,"b009",2211
"none","actinobacterium SCGC AAA027-I20","none","none","unfilt_all",NA,NA,NA,"b009",227
"none","actinobacterium SCGC AAA027-L17","none","none","unfilt_all",NA,NA,NA,"b009",291
"none","actinobacterium SCGC AAA041-I06","none","none","unfilt_all",NA,NA,NA,"b009",162
"none","actinobacterium SCGC AAA043-I11","none","none","unfilt_all",NA,NA,NA,"b009",1935
"none","actinobacterium SCGC AAA043-M07","none","none","unfilt_all",NA,NA,NA,"b009",207
"none","actinobacterium SCGC AAA163-G08","none","none","unfilt_all",NA,NA,NA,"b009",92
"none","actinobacterium SCGC AAA278-A22","none","none","unfilt_all",NA,NA,NA,"b009",15
"none","actinobacterium SCGC AAA278-D08","none","none","unfilt_all",NA,NA,NA,"b009",995
"none","actinobacterium SCGC AAA278-O13","none","none","unfilt_all",NA,NA,NA,"b009",551
"none","actinobacterium SCGC AAA487-C14","none","none","unfilt_all",NA,NA,NA,"b009",4855
"none","uncultured actinobacterium","none","none","unfilt_all",NA,NA,NA,"b009",30
"Atherinidae","Atherinomorus forskalii","none","none","unfilt_all",NA,NA,NA,"b009",24
"Kyphosidae","Kyphosus elegans","Scombridae","Thunnus thynnus","unfilt_all",NA,NA,NA,"b009",502
"Macrouridae","Coryphaenoides rupestris","none","none","unfilt_all",NA,NA,NA,"b009",15
"Gobiidae","Nemateleotris magnifica","Pleuronectidae","Hippoglossus hippoglossus","unfilt_all",NA,NA,NA,"b009",2156
"Gobiidae","Pomatoschistus minutus","Gobiidae","Pomatoschistus minutus","unfilt_all",NA,NA,NA,"b009",946
"Labridae","Scarus schlegeli","none","none","unfilt_all",NA,NA,NA,"b009",126
"Haemulidae","Diagramma picta","none","none","unfilt_all",NA,NA,NA,"b009",28
"Haemulidae","Plectorhinchus lessonii","none","none","unfilt_all",NA,NA,NA,"b009",34
"Lutjanidae","Lutjanus argentimaculatus","none","none","unfilt_all",NA,NA,NA,"b009",29
"Lutjanidae","Pinjalo pinjalo","none","none","unfilt_all",NA,NA,NA,"b009",32
"Pomacanthidae","Pomacanthus xanthometopon","none","none","unfilt_all",NA,NA,NA,"b009",500
"Pholidae","Pholis clemensi","none","none","unfilt_all",NA,NA,NA,"b009",210
"Pholidae","Pholis laeta","none","none","unfilt_all",NA,NA,NA,"b009",24
"Serranidae","Cephalopholis aurantia","none","none","unfilt_all",NA,NA,NA,"b009",23
"Zoarcidae","Bothrocara zestum","Anarhichadidae","Anarhichas lupus","unfilt_all",NA,NA,NA,"b009",936
"Lethrinidae","Lethrinus nebulosus","none","none","unfilt_all",NA,NA,NA,"b009",219
"Nemipteridae","Nemipterus thosaporni","none","none","unfilt_all",NA,NA,NA,"b009",16
"Mullidae","Parupeneus indicus","none","none","unfilt_all",NA,NA,NA,"b009",38
"Syngnathidae","Syngnathus typhle","Syngnathidae","Syngnathus typhle","unfilt_all",NA,NA,NA,"b009",779
"Caulobacteraceae","Brevundimonas nasdae","none","none","unfilt_all",NA,NA,NA,"b009",32
"Caulobacteraceae","Brevundimonas sp. DC-1","none","none","unfilt_all",NA,NA,NA,"b009",24
"Caulobacteraceae","Brevundimonas sp. FPBTIH1","none","none","unfilt_all",NA,NA,NA,"b009",17
"Caulobacteraceae","Brevundimonas sp. HINF003","none","none","unfilt_all",NA,NA,NA,"b009",20
"Caulobacteraceae","Brevundimonas sp. JPB-1.09","none","none","unfilt_all",NA,NA,NA,"b009",504
"Caulobacteraceae","Brevundimonas sp. JT-9","none","none","unfilt_all",NA,NA,NA,"b009",21
"Caulobacteraceae","Brevundimonas sp. S3","Scombridae","Auxis rochei","unfilt_all",NA,NA,NA,"b009",63
"Caulobacteraceae","Brevundimonas sp. WPCB153","none","none","unfilt_all",NA,NA,NA,"b009",26
"Caulobacteraceae","Caulobacter sp. CCGE4014","none","none","unfilt_all",NA,NA,NA,"b009",29
"Caedimonadaceae","Candidatus Nucleicultrix amoebiphila","none","none","unfilt_all",NA,NA,NA,"b009",33
"Holosporaceae","Candidatus Gortzia infectiva","none","none","unfilt_all",NA,NA,NA,"b009",531
"Holosporaceae","endosymbiont of Acanthamoeba sp. UWC8","none","none","unfilt_all",NA,NA,NA,"b009",692
"Ahrensiaceae","Pseudahrensia todarodis","none","none","unfilt_all",NA,NA,NA,"b009",18
"Hyphomicrobiaceae","Hyphomicrobium sp. wp14","none","none","unfilt_all",NA,NA,NA,"b009",20
"Hyphomicrobiaceae","Methyloceanibacter caenitepidi","none","none","unfilt_all",NA,NA,NA,"b009",16
"Parvibaculaceae","Tepidicaulis marinus","none","none","unfilt_all",NA,NA,NA,"b009",13
"Phyllobacteriaceae","Chelativorans sp. A52C2","none","none","unfilt_all",NA,NA,NA,"b009",30
"Phyllobacteriaceae","Mesorhizobium sp.","none","none","unfilt_all",NA,NA,NA,"b009",2265
"Rhizobiaceae","Elbe River snow isolate Iso39","none","none","unfilt_all",NA,NA,NA,"b009",17
"Rhizobiaceae","Rhizobium sp.","none","none","unfilt_all",NA,NA,NA,"b009",27
"Rhizobiaceae","Rhizobium sp. B3115","none","none","unfilt_all",NA,NA,NA,"b009",26
"Hyphomonadaceae","Henriciella marina","none","none","unfilt_all",NA,NA,NA,"b009",31
"Hyphomonadaceae","Hyphomonadaceae bacterium JC2234","none","none","unfilt_all",NA,NA,NA,"b009",59
"Hyphomonadaceae","Hyphomonas sp. DG1448","none","none","unfilt_all",NA,NA,NA,"b009",114
"Maricaulaceae","Glycocaulis albus","none","none","unfilt_all",NA,NA,NA,"b009",15
"Robiginitomaculaceae","Fretibacter rubidus","none","none","unfilt_all",NA,NA,NA,"b009",139
"Robiginitomaculaceae","Litorimonas sp. JNU-L054","none","none","unfilt_all",NA,NA,NA,"b009",133
"Robiginitomaculaceae","Litorimonas taeanensis","none","none","unfilt_all",NA,NA,NA,"b009",1509
"none","alpha proteobacterium DG1442","none","none","unfilt_all",NA,NA,NA,"b009",42
"none","alpha proteobacterium enrichment culture DGGE gel band PCA17","none","none","unfilt_all",NA,NA,NA,"b009",430
"none","alpha proteobacterium GM17","none","none","unfilt_all",NA,NA,NA,"b009",16
"none","alpha proteobacterium SCGC AAA015-I02","none","none","unfilt_all",NA,NA,NA,"b009",94
"none","alpha proteobacterium SCGC AAA015-N04","none","none","unfilt_all",NA,NA,NA,"b009",16
"none","alpha proteobacterium SCGC AAA076-A02","none","none","unfilt_all",NA,NA,NA,"b009",186
"none","alpha proteobacterium SCGC AAA076-E06","none","none","unfilt_all",NA,NA,NA,"b009",1662
"none","alpha proteobacterium SCGC AAA076-E09","none","none","unfilt_all",NA,NA,NA,"b009",515
"none","alpha proteobacterium SCGC AAA076-I20","none","none","unfilt_all",NA,NA,NA,"b009",354
"none","alpha proteobacterium SCGC AAA158-A21","none","none","unfilt_all",NA,NA,NA,"b009",36
"none","alpha proteobacterium SCGC AAA158-B04","none","none","unfilt_all",NA,NA,NA,"b009",733
"none","alpha proteobacterium SCGC AAA158-E02","none","none","unfilt_all",NA,NA,NA,"b009",54
"none","alpha proteobacterium SCGC AAA158-M15","none","none","unfilt_all",NA,NA,NA,"b009",87
"none","alpha proteobacterium SCGC AAA160-B02","none","none","unfilt_all",NA,NA,NA,"b009",89
"none","alpha proteobacterium SCGC AAA160-M08","none","none","unfilt_all",NA,NA,NA,"b009",111
