"blast_unfilt_fam","blast_unfilt_genus_species","blast_filt_fam","blast_filt_genus_species","source","note","Oceanic_region","commentary","ngs_metabarcode_libr_nm","seq.rd.cnt"
"Iamiaceae","Iamia majanohamensis","none","none","unfilt_all",NA,NA,NA,"b011",14
"Ilumatobacteraceae","Ilumatobacter nonamiensis","none","none","unfilt_all",NA,NA,NA,"b011",25
"none","Acidimicrobidae bacterium YM18-244","none","none","unfilt_all",NA,NA,NA,"b011",45
"Acidothermaceae","Acidothermus cellulolyticus","none","none","unfilt_all",NA,NA,NA,"b011",160
"Acidothermaceae","uncultured Acidothermus sp.","none","none","unfilt_all",NA,NA,NA,"b011",114
"Microbacteriaceae","Candidatus Aquiluna rubra","none","none","unfilt_all",NA,NA,NA,"b011",1120
"Micromonosporaceae","uncultured Actinoplanes sp.","none","none","unfilt_all",NA,NA,NA,"b011",25
"none","actinobacterium enrichment culture clone LiUU-12-58","none","none","unfilt_all",NA,NA,NA,"b011",341
"none","actinobacterium SCGC AAA001-B19","none","none","unfilt_all",NA,NA,NA,"b011",116
"none","actinobacterium SCGC AAA027-D23","none","none","unfilt_all",NA,NA,NA,"b011",432
"none","actinobacterium SCGC AAA027-E14","none","none","unfilt_all",NA,NA,NA,"b011",631
"none","actinobacterium SCGC AAA027-F04","none","none","unfilt_all",NA,NA,NA,"b011",12
"none","actinobacterium SCGC AAA027-I20","none","none","unfilt_all",NA,NA,NA,"b011",56
"none","actinobacterium SCGC AAA043-I09","none","none","unfilt_all",NA,NA,NA,"b011",677
"none","actinobacterium SCGC AAA163-G08","none","none","unfilt_all",NA,NA,NA,"b011",34
"none","actinobacterium SCGC AAA278-C06","none","none","unfilt_all",NA,NA,NA,"b011",241
"none","actinobacterium SCGC AAA278-M15","none","none","unfilt_all",NA,NA,NA,"b011",235
"none","actinobacterium SCGC AAA278-P20","none","none","unfilt_all",NA,NA,NA,"b011",1742
"none","uncultured actinobacterium","none","none","unfilt_all",NA,NA,NA,"b011",30
"Acanthuridae","Acanthurus olivaceus","Gasterosteidae","Gasterosteus aculeatus","unfilt_all",NA,NA,NA,"b011",48
"Platytroctidae","Maulisia mauli","none","none","unfilt_all",NA,NA,NA,"b011",46
"Kyphosidae","Kyphosus elegans","Scombridae","Thunnus thynnus","unfilt_all",NA,NA,NA,"b011",237
"Gadidae","Gadus morhua","Gadidae","Gadus morhua","unfilt_all",NA,NA,NA,"b011",227
"Gobiidae","Gobius niger","Gobiidae","Gobius niger","unfilt_all",NA,NA,NA,"b011",354
"Gobiidae","Nemateleotris magnifica","Pleuronectidae","Hippoglossus hippoglossus","unfilt_all",NA,NA,NA,"b011",183
"Labridae","Ctenolabrus rupestris","Labridae","Ctenolabrus rupestris","unfilt_all",NA,NA,NA,"b011",365
"Labridae","Scarus dimidiatus","none","none","unfilt_all",NA,NA,NA,"b011",235
"Labridae","Scarus rubroviolaceus","none","none","unfilt_all",NA,NA,NA,"b011",51
"Labridae","Scarus schlegeli","none","none","unfilt_all",NA,NA,NA,"b011",20
"Haemulidae","Plectorhinchus flavomaculatus","Molidae","Mola mola","unfilt_all",NA,NA,NA,"b011",131
"Haemulidae","Plectorhinchus lessonii","Molidae","Mola mola","unfilt_all",NA,NA,NA,"b011",21
"Lutjanidae","Lutjanus argentimaculatus","none","none","unfilt_all",NA,NA,NA,"b011",240
"Myctophidae","Lampanyctus macdonaldi","none","none","unfilt_all",NA,NA,NA,"b011",239
"Monodactylidae","Monodactylus argenteus","none","none","unfilt_all",NA,NA,NA,"b011",19
"Pomacanthidae","Pomacanthus xanthometopon","none","none","unfilt_all",NA,NA,NA,"b011",233
"Pomacentridae","Neoglyphidodon oxyodon","none","none","unfilt_all",NA,NA,NA,"b011",34
"Liparidae","Psednos groenlandicus","Scombridae","Auxis rochei","unfilt_all",NA,NA,NA,"b011",21
"Zoarcidae","Bothrocara zestum","Anarhichadidae","Anarhichas lupus","unfilt_all",NA,NA,NA,"b011",214
